user_id,height_cm,weight_kg,sex,wrist_height_cm,axilla_height_cm,ideal_overall_cm,ideal_grip_cm,wrist_estimated,axilla_estimated
U04961,140.9,42.6,F,67.2,103.8,98.8,67.2,False,False
U04901,143.5,47.8,F,70.4,107.0,102.0,70.4,False,False
U04950,143.9,58.5,F,70.5,107.1,102.1,70.5,False,False
U05598,144.2,46.7,F,75.1,108.8,103.8,75.1,False,False
U04109,144.6,48.8,F,73.4,106.2,101.2,73.4,False,False
U04849,144.7,68.3,F,73.6,110.0,105.0,73.6,False,False
U04378,144.7,73.6,F,73.8,108.2,103.2,73.8,False,False
U05414,145.8,44.5,F,69.5,108.8,103.8,69.5,False,False
U04759,146.2,51.9,F,72.8,111.2,106.2,72.8,False,False
U05965,146.3,62.6,F,72.5,108.2,103.2,72.5,False,False
U04985,146.4,42.6,F,71.6,109.6,104.6,71.6,False,False
U05606,146.5,49.7,F,71.8,111.6,106.6,71.8,False,False
U05194,146.8,49.9,F,68.8,110.1,105.1,68.8,False,False
U05946,147.1,46.4,F,73.5,112.2,107.2,73.5,False,False
U05813,147.3,56.2,F,71.7,111.2,106.2,71.7,False,False
U05185,147.5,57.5,F,71.7,111.2,106.2,71.7,False,False
U05608,147.5,48.0,F,72.3,112.3,107.3,72.3,False,False
U05698,147.9,35.8,F,71.9,111.6,106.6,71.9,False,False
U04721,148.0,54.0,F,70.1,113.7,108.7,70.1,False,False
U04824,148.0,47.0,F,71.1,111.1,106.1,71.1,False,False
U05886,148.3,44.2,F,74.0,113.0,108.0,74.0,False,False
U05898,148.7,71.2,F,73.3,111.6,106.6,73.3,False,False
U05753,149.0,61.7,F,75.1,114.0,109.0,75.1,False,False
U05247,149.0,48.4,F,72.4,111.2,106.2,72.4,False,False
U02796,149.1,47.8,M,69.5,110.6,105.6,69.5,False,False
U05228,149.2,43.0,F,70.5,113.5,108.5,70.5,False,False
U04179,149.3,64.2,F,72.1,109.8,104.8,72.1,False,False
U05260,149.3,61.3,F,70.3,112.6,107.6,70.3,False,False
U05655,149.4,58.0,F,72.6,112.3,107.3,72.6,False,False
U05498,149.5,52.6,F,70.1,110.6,105.6,70.1,False,False
U04178,149.5,58.1,F,73.4,112.4,107.4,73.4,False,False
U04502,149.5,50.1,F,72.5,113.3,108.3,72.5,False,False
U04810,149.5,48.7,F,72.3,111.7,106.7,72.3,False,False
U04787,149.6,48.8,F,73.6,111.7,106.7,73.6,False,False
U05738,149.6,50.9,F,68.8,110.8,105.8,68.8,False,False
